frame_from,frame_to,dx,dy,n_inliers,cum_x,cum_y
,0,0.0,0.0,0,0.0,0.0
0,1,-3.8444498349894447,-1.5899365629547062,820,-3.8444498349894447,-1.5899365629547062
1,2,-1.7271868791027778,-0.7330823297822172,1110,-5.5716367140922225,-2.3230188927369233
2,3,-1.5034202449751044,-0.616587569901936,1062,-7.075056959067327,-2.939606462638859
3,4,-1.2646465882511317,-0.15128479734429667,1036,-8.339703547318459,-3.090891259983156
4,5,-1.477232872152281,-0.7316691630911246,1113,-9.81693641947074,-3.8225604230742807
5,6,-4.138019055395025,-2.5522811362131894,1042,-13.954955474865764,-6.37484155928747
6,7,-1.8305817360755294,-0.9518078440601252,1066,-15.785537210941294,-7.326649403347595
7,8,-1.982087294883397,-1.0971727652451948,1190,-17.767624505824692,-8.423822168592789
8,9,-1.5730994613676437,-1.041462395757309,1202,-19.340723967192336,-9.465284564350098
9,10,-1.533725105980622,-0.7449757242438121,995,-20.874449073172958,-10.21026028859391
10,11,-1.7007576641164601,-1.3593400172747283,1088,-22.575206737289417,-11.569600305868638
11,12,-2.3132353493339393,-1.4817478905536592,1068,-24.888442086623357,-13.051348196422298
12,13,-2.2128021087892487,-1.8094843758651276,1100,-27.101244195412605,-14.860832572287425
13,14,-1.8592004869718235,-2.087314360829316,1046,-28.960444682384427,-16.94814693311674
14,15,-1.6514258698169662,-2.862974023580003,887,-30.611870552201392,-19.81112095669674
15,16,-1.5377910514695983,-2.142544261548411,1078,-32.14966160367099,-21.953665218245153
16,17,-2.307273945241271,-1.999648540950734,1132,-34.45693554891226,-23.953313759195886
17,18,-1.7661793110418225,-1.0999497149435096,1170,-36.22311485995409,-25.053263474139396
18,19,-1.9175384250076848,-0.6623701284369725,1196,-38.14065328496177,-25.715633602576368
19,20,-1.8679859672355192,-0.12674105109867234,1138,-40.00863925219729,-25.84237465367504
20,21,-1.9900308607016726,0.18606528404138273,1073,-41.998670112898964,-25.656309369633657
21,22,-2.093912842306424,-0.09004291086180272,1180,-44.09258295520539,-25.74635228049546
22,23,-2.542770358628613,-0.41464123677073195,1018,-46.635353313834,-26.160993517266192
23,24,-2.2435331828696743,-0.5300825601798747,1213,-48.87888649670368,-26.691076077446066
24,25,-1.5472425249656534,-0.7575370297746946,1324,-50.42612902166933,-27.448613107220762
25,26,-2.184800400434117,-1.46677878529561,1262,-52.61092942210345,-28.91539189251637
26,27,-2.21371597458449,-1.648679236520029,1167,-54.82464539668794,-30.5640711290364
27,28,-2.3909183997162406,-1.582116996567318,1138,-57.21556379640418,-32.146188125603715
28,29,-2.365854450047194,-2.1251557521087827,1242,-59.58141824645138,-34.271343877712496
29,30,-2.016422356565731,-1.354491286504374,1060,-61.59784060301711,-35.62583516421687
30,31,-1.7352719785941366,-1.5504601235863333,945,-63.333112581611246,-37.17629528780321
31,32,-2.094781108220919,-1.8018918637473058,1133,-65.42789368983216,-38.978187151550514
32,33,-2.1248309785567807,-1.8068343246766605,1201,-67.55272466838895,-40.78502147622717
33,34,-2.8415410715022165,-1.710383762978013,1063,-70.39426573989117,-42.49540523920518
