frame_from,frame_to,dx,dy,n_inliers,cum_x,cum_y
,0,0.0,0.0,0,0.0,0.0
0,1,-4.495934308666607,-1.7359747170351085,1115,-4.495934308666607,-1.7359747170351085
1,2,-3.557320988496173,-1.9237086732374467,1468,-8.05325529716278,-3.659683390272555
2,3,-2.5760421411371155,-0.7450560356238882,1425,-10.629297438299895,-4.404739425896443
3,4,-1.318463149076457,-0.24114253972140234,1301,-11.947760587376353,-4.645881965617845
4,5,-2.109348722432497,-1.071456749570817,1457,-14.05710930980885,-5.717338715188662
5,6,-4.184361102639712,-2.0818364330024233,1348,-18.24147041244856,-7.799175148191085
6,7,-2.2363601197214296,-1.072920541132709,1350,-20.47783053216999,-8.872095689323794
7,8,-2.395604032784627,-1.7223067745003184,1292,-22.873434564954614,-10.594402463824112
8,9,-1.5298034360643418,-0.9803370751230063,1409,-24.403238001018956,-11.574739538947119
9,10,-2.7515105251604317,-1.52315636076451,1348,-27.154748526179386,-13.097895899711629
10,11,-1.7872342987178274,-1.4365247689406235,1326,-28.941982824897213,-14.534420668652253
11,12,-2.263044749290213,-2.03233471693384,1298,-31.205027574187426,-16.56675538558609
12,13,-2.3506131751140353,-2.178872081202058,1362,-33.55564074930146,-18.74562746678815
13,14,-2.331148795730853,-2.6184005637739003,1340,-35.886789545032315,-21.36402803056205
14,15,-1.4584279272685676,-2.200951244170253,1216,-37.34521747230088,-23.564979274732302
15,16,-1.3331222359339805,-1.903564518307813,1357,-38.67833970823486,-25.468543793040116
16,17,-2.261858329576313,-2.0209522680255976,1420,-40.94019803781117,-27.489496061065715
17,18,-1.6450265682743639,-1.0350620264857344,1437,-42.58522460608553,-28.524558087551448
18,19,-1.716003130516349,-0.5555388048286177,1480,-44.30122773660188,-29.080096892380066
19,20,-1.5930711255879575,0.08911208010409005,1433,-45.894298862189835,-28.990984812275975
20,21,-1.7133685921219226,0.3168682144047713,1439,-47.60766745431176,-28.674116597871205
21,22,-2.294415815812036,-0.10735024674068239,1488,-49.902083270123796,-28.781466844611888
